id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
308,65.37324519900001,184.0429999999884,1913,1918,0.5124073178160422,0.579617968900704,1.3294280533919771,1.0,2d gaze,,,,65.37324519900001 65.38527419900001 65.401289199 65.413241199 65.42162419900001 65.441274199 65.45321119900001 65.461284199 65.47724519900001 65.485394199 65.505291199 65.513247199 65.533220199 65.54521119900001 65.557288199
309,65.597319199,83.91000000000304,1919,1922,0.5361152186113245,0.5745839436848958,1.3930601445780635,1.0,2d gaze,,,,65.597319199 65.605745199 65.62125319900001 65.63323019900001 65.645286199 65.661487199 65.673347199 65.681229199
310,65.69727919900001,215.95200000000148,1922,1929,0.5567922790157753,0.5786042971808408,1.4605123353935392,1.0,2d gaze,,,,65.69727919900001 65.705251199 65.72130119900001 65.73747819900001 65.75328319900001 65.761254199 65.777394199 65.78924919900001 65.801235199 65.813269199 65.829284199 65.84130819900001 65.857250199 65.873340199 65.881213199 65.90132119900001 65.91323119900001
311,65.921261199,120.00600000000361,1929,1933,0.5706151401295382,0.5886510411015264,1.425005361692193,1.0,2d gaze,,,,65.921261199 65.937224199 65.94129519900001 65.961245199 65.97727319900001 65.98924019900001 66.001255199 66.01325219900001 66.02126019900001 66.041267199
312,66.061423199,92.0330000000007,1933,1936,0.5854181331746718,0.5915235696015535,1.4872899022993142,1.0,2d gaze,,,,66.061423199 66.073305199 66.08935019900001 66.101234199 66.113241199 66.121268199 66.137220199 66.153456199
313,66.16126119900001,219.98800000000074,1936,1943,0.5658800866868761,0.5988134297814389,0.7969420582275939,1.0,2d gaze,,,,66.16126119900001 66.17728519900001 66.18922919900001 66.201293199 66.213234199 66.221231199 66.241287199 66.24923119900001 66.261297199 66.277268199 66.293237199 66.30123819900001 66.321262199 66.337184199 66.349157199 66.361230199 66.37318919900001 66.38124919900001
314,66.43734919900001,87.86599999999112,1945,1947,0.5886470289791331,0.585026666853163,1.4839774790915623,1.0,2d gaze,,,,66.43734919900001 66.449171199 66.461228199 66.477230199 66.489424199 66.497220199 66.51319519900001 66.525215199
315,66.59322219900001,144.01599999999348,1950,1954,0.5679426800970937,0.5835989422268338,1.4025932595406008,1.0,2d gaze,,,,66.59322219900001 66.605191199 66.617213199 66.633255199 66.645222199 66.657193199 66.669195199 66.677226199 66.697208199 66.713195199 66.725183199 66.737238199
316,66.789196199,139.99099999999487,1955,1960,0.5065072751512715,0.5505089912885501,1.281591780402966,1.0,2d gaze,,,,66.789196199 66.79722519900001 66.813241199 66.82524519900001 66.837235199 66.849416199 66.865184199 66.87725919900001 66.893251199 66.905207199 66.91722719900001 66.929187199
317,67.00545019900001,187.79999999999575,1962,1967,0.3441343213997635,0.5686327729401766,1.3459537571825564,1.0,2d gaze,,,,67.00545019900001 67.017215199 67.029213199 67.045213199 67.05722719900001 67.07725419900001 67.093327199 67.105179199 67.11726819900001 67.129221199 67.137263199 67.157251199 67.169289199 67.177272199 67.193250199
